"label"	"survey"	"depth"	"asurv"	"mesh"	"vertop"	"horop"	"towsp"	"lat"	"lon"	"npp"	"sst"	"sstdif"	"sbt"	"sbtdif"	"ult"	"ultdif"	"mlgr"	"lml"	"aswept"	"nsp"	"density"	"nhauls"	"band"	"geo"	"catch"	"abundance"
"Far_NE-Wi-200"	"Faroe Islands NE Feb  200-500m"	350	16393	40	4	17.5	3	61.7	-5.5	215.3	8.7	3.53	5.52	0.44	8.14	2.25	"e1.5"	1.5	27	0	0	585	"7.5-14"	"NE North Atlantic"	0	0
"Far_Pla-Au-65"	"Faroe Plateau Aug   65-200m"	132.5	18178	40	4	16	3	61.7	-6.7	196.8	8.7	3.17	7.63	1.29	8.33	2.35	"e1.5"	1.5	146	0	0	1033	"7.5-14"	"NE North Atlantic"	0	0
"Far_Pla-Wi-65"	"Faroe Plateau Feb   65-200m"	132.5	18178	40	4	16	3	61.7	-6.7	196.8	8.7	3.17	7.63	1.29	8.33	2.35	"e1.5"	1.5	93	0	0	1643	"7.5-14"	"NE North Atlantic"	0	0
"Far_SW-Au-200"	"Faroe SW  200-500m"	350	8576	40	4	17.5	3	61.7	-7.9	199.7	9	2.99	5.52	0.42	8.59	2.03	"e1.5"	1.5	35	0	0	361	"7.5-14"	"NE North Atlantic"	0	0
"Guinea-All-5"	"Guinea     5-50m"	27.5	32558	25	3	13	3	9.8	-14.8	693.7	27.3	1.38	22.64	3.41	25.29	2.85	"e1.5"	1.5	82	0	0	2280	">20.5"	"SE North Atlantic"	0	0
"Guinea-All-50"	"Guinea   50-200m"	125	4783	25	3	13	3	9.8	-14.8	693.7	27.3	1.43	16.99	1.38	22.4	2.54	"e1.5"	1.5	4	0	0	103	">20.5"	"SE North Atlantic"	0	0
"GuLw1_N-Su-200"	"Gulf St. Lawrence I  200-520m"	360	59533	19	5.5	13.4	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e1.5"	1.5	62	0	0	2100	"<7.5"	"NW North Atlantic"	0	0
"GuLw1_N-Su-40"	"Gulf St. Lawrence I   40-200m"	120	36826	19	5.5	13.4	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e1.5"	1.5	27	0	0	911	"<7.5"	"NW North Atlantic"	0	0
"GuLw2_N-Su-200"	"Gulf St. Lawrence II  200-671m"	360	59533	12.7	4	16.9	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e1.5"	1.5	24	0	0	1034	"<7.5"	"NW North Atlantic"	0	0
"GuLw2_N-Su-40"	"Gulf St. Lawrence II   40-200m"	120	36826	12.7	4	16.9	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e1.5"	1.5	16	0	0	671	"<7.5"	"NW North Atlantic"	0	0
"Iceland_NE-Au-200"	"Iceland NE 200-1160m"	679.75	106038	40	5.5	17	3.8	65.8	-16.6	187.6	3.9	4.18	0.53	0.13	3.15	2.08	"e1.5"	1.5	118	0	0	1248	"<7.5"	"Arctic"	0	0
"Iceland_NE-Au-60"	"Iceland NE   60-200m"	129.75	40140	40	4.5	17	3.8	65.5	-17.3	187.6	5.2	4.65	3.94	1.59	4.67	3.01	"e1.5"	1.5	45	0	0	470	"<7.5"	"Arctic"	0	0
"Iceland_SW-Au-201"	"Iceland SW 200-1313m"	756.25	50278	40	5.5	17	3.8	65.1	-25.8	262.1	7.7	3.62	5.86	0.28	7.2	1.96	"e1.5"	1.5	87	0	0	916	"7.5-14"	"NE North Atlantic"	0	0
"Iceland_SW-Au-42"	"Iceland SW   42-200m"	120.75	39766	40	4.5	17	3.8	65	-20.5	262.1	7.7	4.45	7.01	1.45	7.35	2.89	"e1.5"	1.5	44	0	0	467	"7.5-14"	"NE North Atlantic"	0	0
"Mauritania-All-5"	"Mauritania     5-50m"	27.5	14127	40	4	17	3.5	18.5	-16.9	1885.6	20.8	6.89	17.6	4.12	19.34	5.79	"e1.5"	1.5	89	0	0	1621	">20.5"	"SE North Atlantic"	0	0
"Mauritania-All-50"	"Mauretania   50-200m"	125	10646	40	4	17	3.5	18.5	-16.9	1885.6	21.5	7.54	14.17	1.47	18.37	4.64	"e1.5"	1.5	71	0	0	1285	">20.5"	"SE North Atlantic"	0	0
"Morocco-All-200"	"Morocco  200-400m"	300	4876	40	2.1	21.4	3	32.3	-8.6	380.3	19.1	3.83	12.23	-0.25	17.27	0.83	"e1.5"	1.5	7	0	0	178	"14-20.5"	"SE North Atlantic"	0	0
"Morocco-All-22"	"Morocco   22-200m"	111	28889	40	2.1	21.4	3	32.3	-8.6	380.3	19.2	3.97	15.23	-0.37	17.55	1.11	"e1.5"	1.5	20	0	0	548	"14-20.5"	"SE North Atlantic"	0	0
"Morocco-All-400"	"Morocco  400-890m"	645	10690	40	2.1	21.4	3	32.3	-8.6	380.3	19.2	4.04	10.48	-0.14	17.27	0.95	"e1.5"	1.5	13	0	0	227	"14-20.5"	"SE North Atlantic"	0	0
"North_Sea-Su-11"	"North Sea Aug   11-269m"	140	493244	20	5	21	4	56.4	2.4	387.3	10.1	8.14	8.36	3.49	9.16	5.66	"e1.5"	1.5	289	1	0.452053070512252	3736	"7.5-14"	"NE North Atlantic"	28.9224	222972.464711745
"North_Sea-Wi-10"	"North Sea Feb   10-270m"	140	499507	20	5	21	4	56.2	2.3	387.3	10.1	8.16	8.37	3.53	9.17	5.7	"e1.5"	1.5	765	1	0.248480246779253	9152	"7.5-14"	"NE North Atlantic"	42.841344	124117.622627964
"Northern_Spain-Au-35.5"	"Northern Spain 35.5-493m"	264	20279	20	2	18.9	3	43	-5.7	379.1	15.5	5.72	11.74	0.31	13.88	2.15	"e1.5"	1.5	137	1	0.753267400408141	2610	"14-20.5"	"NE North Atlantic"	20.964825	15275.5096128767
"Norwegian_coast-Au-140"	"Norwegian coast  140-803m"	471.5	118922	16	7	25	3.4	72.4	22.2	172.6	6.1	3.7	3.52	-0.3	5.49	1.73	"e1.5"	1.5	67	0	0	530	"<7.5"	"NE North Atlantic"	0	0
"Porcupine_Bank-Au-189"	"Porcupine Bank  189-763m"	476	53139	20	3.5	20	3.5	52.5	-13.1	235.2	12.4	4.54	10.13	-0.05	11.4	2.01	"e1.5"	1.5	42	0	0	651	"7.5-14"	"NE North Atlantic"	0	0
"Portugal_N-Au-14"	"Portugal N   14-678m"	346	12482	20	4.6	15	3.5	40.6	-9.3	497.6	16.3	4.66	13.22	-0.27	14.87	1.43	"e1.5"	1.5	48	0	0	678	"14-20.5"	"NE North Atlantic"	0	0
"Portugal_S-Au-16"	"Portugal S   19-690m"	354.5	2801	20	4.6	15	3.5	36.9	-8.2	497.6	18.1	4.49	14.34	-0.35	16.56	1.34	"e1.5"	1.5	30	0	0	411	"14-20.5"	"NE North Atlantic"	0	0
"Portugal_SW-Au-30"	"Portugal SW   30-460m"	245	8248	20	4.6	15	3.5	38.3	-9.5	497.6	17	4	13.36	-0.38	15.58	1.15	"e1.5"	1.5	39	0	0	567	"14-20.5"	"NE North Atlantic"	0	0
"S_Barents_Sea-Au-36"	"S Barents Sea   36-830m"	433	820387	16	7	25	3.4	73.2	38.7	128	2.3	4.67	0.72	-0.02	1.47	1.93	"e1.5"	1.5	296	0	0	2144	"<7.5"	"Arctic"	0	0
"S_Tyrrhenian_Sea-Su-19"	"S Tyrrhenian Sea   19-200m"	109.5	941	20	1.9	18.4	3	38.3	14.3	170	19.5	11.21	13.72	-0.01	15.8	2.96	"e1.5"	1.5	6	1	18.7017906213428	122	"14-20.5"	"Mediterranean"	38.999496	17598.3849746836
"S_Tyrrhenian_Sea-Su-200"	"S Tyrrhenian Sea  200-693m"	446.5	1821	20	1.9	18.4	3	38.3	14.3	170	19.5	11.21	13.72	-0.01	15.8	2.96	"e1.5"	1.5	13	1	9.40674924709606	127	"14-20.5"	"Mediterranean"	41.996868	17129.6903789619
"Scotian_shelf-Su-17"	"Scotian shelf   12-200m"	106	190955	19	4.6	12.5	3.5	44.2	-62.4	306.2	8	13.35	5.38	0.94	5.43	4.94	"e1.5"	1.5	167	0	0	4097	"7.5-14"	"NW North Atlantic"	0	0
"Tramontana-Su-200"	"Tramontana  200-767m"	483.5	5318	20	3	20.3	3	41	2.2	241.6	18.11	10.61	13.36	0.44	13.19	4.43	"e1.5"	1.5	12	1	2.12310548906428	106	"14-20.5"	"Mediterranean"	8.99999999445	11290.6749908438
"Tramontana-Su-30"	"Tramontana   30-200m"	115	10149	20	3	16.3	3	41	2.2	241.6	17.7	10.19	13.11	0.06	14.67	3.55	"e1.5"	1.5	32	2	491.384643921519	347	"14-20.5"	"Mediterranean"	3231.99999922099	4987062.7511595
"W_Greenland_GDR-Au-200"	"W Greenland  200-400m"	300	13077	30	4	22	4.5	62.9	-50.3	124.5	1.6	3.86	3.75	0.1	1.95	1.79	"e1.5"	1.5	68	0	0	740	"<7.5"	"Arctic"	0	0
"W_Greenland_GDR-Au-50"	"W Greenland   50-200m"	124.5	47617	30	4	22	4.5	62.9	-50.3	124.5	1.6	3.43	2.87	0.43	1.9	1.73	"e1.5"	1.5	122	0	0	1331	"<7.5"	"Arctic"	0	0
"West_of_Scotland-Au-30"	"W Scotland Nov   30-500m"	265	114470	20	4.6	20	4	57.3	-7.7	324.4	10.8	4.58	9.65	1.37	10.28	3.02	"e1.5"	1.5	49	0	0	527	"7.5-14"	"NE North Atlantic"	0	0
"West_of_Scotland-Wi-10"	"W Scotland Mar   10-405m"	207.5	114003	20	4.6	20	4	57.3	-7.7	324.4	10.8	4.59	9.68	1.38	10.28	3.03	"e1.5"	1.5	99	1	1.39775536708022	991	"7.5-14"	"NE North Atlantic"	31.192734569472	159348.305113246
"Adriatic-Su-16"	"Adriatic   16-449m"	232.5	54363	20	2.3	16.5	3	43.9	15.7	223.5	17.9	10.81	13.46	0.73	15.05	4.14	"e2"	2	31	1	252.196377719842	657	"14-20.5"	"Mediterranean"	2668.05658	13710151.6819838
"Alboran_Sea-Su-200"	"Alboran Sea  200-810m"	505	8812	20	3	19.4	3	36.8	-3	402	18.3	7.17	13.1	-0.04	15.2	1.61	"e2"	2	27	1	0.211911255440945	251	"14-20.5"	"Mediterranean"	2.005992	1867.36198294561
"Alboran_Sea-Su-30"	"Alboran Sea   30-200m"	115	2247	20	3	16.4	3	36.8	-3	402	18.4	7.57	13.2	-0.04	15.22	1.76	"e2"	2	8	4	556.609846265389	169	"14-20.5"	"Mediterranean"	1281.0014945	1250702.32455833
"Alicante_and_Eivissa-Su-200"	"Alicante & Eivissa  200-788m"	494	5065	20	3	19.5	3	38.6	0	208.6	19.1	10.87	13.22	-0.03	15.32	2.99	"e2"	2	16	1	0.187673729510446	150	"14-20.5"	"Mediterranean"	1.0044	950.567439970409
"Alicante_and_Eivissa-Su-30"	"Alicante & Eivissa   30-200m"	115	5620	20	3	16.4	3	38.6	0	208.6	19.1	11.27	13.67	0.2	15.88	4.09	"e2"	2	10	3	137.864804906278	215	"14-20.5"	"Mediterranean"	410.00414	774800.203573282
"Bay_of_Biscay-Au-28"	"Bay of Biscay   28-100m"	64	26316	20	4	20.5	4	45.8	-4.6	520.3	14.7	8.18	11.97	0.79	13.18	3.96	"e2"	2	37	0	0	486	"14-20.5"	"NE North Atlantic"	0	0
"Bear_Island-Au-36"	"Bear Island   36-830m"	433	258318	16	7	25	3.4	77	18.7	117.1	1.5	3.14	1.27	0.38	1.35	1.81	"e2"	2	214	1	0.0641290888053105	1576	"<7.5"	"Arctic"	4.497108	16565.6979620102
"Celtic_Sea-Au-65"	"Celtic Sea   65-524m"	294.5	141601	20	4.1	18.7	4	49.9	-8.2	317.1	12.9	6	10.57	0.34	11.5	2.52	"e2"	2	38	0	0	545	"7.5-14"	"NE North Atlantic"	0	0
"Davis_Strait-Au-400"	"Davis Strait  400-1500m"	950	52602	30	5	28	3	64.2	-54.7	114.1	1.6	4.96	3.84	-0.29	1.88	1.65	"e2"	2	42	0	0	591	"<7.5"	"Arctic"	0	0
"E_Greenl_GDR-Au-200"	"E Greenland   200-400m"	300	56488	30	4	22	4.5	62.8	-36.8	112.4	4.2	1.47	4.68	0.08	4.61	0.72	"e2"	2	98	0	0	1069	"<7.5"	"Arctic"	0	0
"E_Greenl_GDR-Au-50"	"E Greenland   50-200m"	125	17576	30	4	22	4.5	62.8	-36.8	112.4	3.3	1.08	4.28	0.2	3.77	0.51	"e2"	2	33	0	0	366	"<7.5"	"Arctic"	0	0
"E_Greenland-Su-400"	"E Greenland   400-1500m"	950	43458	30	5	28	3	64.2	-35.8	112.4	4.5	2.01	3.95	-0.07	4.86	1.06	"e2"	2	34	0	0	476	"<7.5"	"Arctic"	0	0
"Far_NE-Au-200"	"Faroe Islands NE Aug  200-500m"	350	16393	40	4	17.5	3	61.7	-5.5	215.3	8.7	3.53	5.52	0.44	8.14	2.25	"e2"	2	57	0	0	283	"7.5-14"	"NE North Atlantic"	0	0
"Far_NE-Wi-200"	"Faroe Islands NE Feb  200-500m"	350	16393	40	4	17.5	3	61.7	-5.5	215.3	8.7	3.53	5.52	0.44	8.14	2.25	"e2"	2	27	0	0	585	"7.5-14"	"NE North Atlantic"	0	0
"Far_Pla-Au-65"	"Faroe Plateau Aug   65-200m"	132.5	18178	40	4	16	3	61.7	-6.7	196.8	8.7	3.17	7.63	1.29	8.33	2.35	"e2"	2	146	0	0	1033	"7.5-14"	"NE North Atlantic"	0	0
"Far_Pla-Wi-65"	"Faroe Plateau Feb   65-200m"	132.5	18178	40	4	16	3	61.7	-6.7	196.8	8.7	3.17	7.63	1.29	8.33	2.35	"e2"	2	93	0	0	1643	"7.5-14"	"NE North Atlantic"	0	0
"Far_SW-Au-200"	"Faroe SW  200-500m"	350	8576	40	4	17.5	3	61.7	-7.9	199.7	9	2.99	5.52	0.42	8.59	2.03	"e2"	2	35	0	0	361	"7.5-14"	"NE North Atlantic"	0	0
"Guinea-All-5"	"Guinea     5-50m"	27.5	32558	25	3	13	3	9.8	-14.8	693.7	27.3	1.38	22.64	3.41	25.29	2.85	"e2"	2	82	0	0	2280	">20.5"	"SE North Atlantic"	0	0
"Guinea-All-50"	"Guinea   50-200m"	125	4783	25	3	13	3	9.8	-14.8	693.7	27.3	1.43	16.99	1.38	22.4	2.54	"e2"	2	4	0	0	103	">20.5"	"SE North Atlantic"	0	0
"GuLw1_N-Su-200"	"Gulf St. Lawrence I  200-520m"	360	59533	19	5.5	13.4	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e2"	2	62	1	0.558740586517832	2100	"<7.5"	"NW North Atlantic"	3.35664	33263.5033371661
"GuLw1_N-Su-40"	"Gulf St. Lawrence I   40-200m"	120	36826	19	5.5	13.4	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e2"	2	27	1	10.6129956381902	911	"<7.5"	"NW North Atlantic"	28.5296048	390834.177371992
"GuLw2_N-Su-200"	"Gulf St. Lawrence II  200-671m"	360	59533	12.7	4	16.9	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e2"	2	24	0	0	1034	"<7.5"	"NW North Atlantic"	0	0
"GuLw2_N-Su-40"	"Gulf St. Lawrence II   40-200m"	120	36826	12.7	4	16.9	3	49.6	-62.4	324.4	5.1	13.43	3.81	-0.08	1.75	3.21	"e2"	2	16	1	181.991111346131	671	"<7.5"	"NW North Atlantic"	310.0560155	6702004.66643262
"Iceland_NE-Au-200"	"Iceland NE 200-1160m"	679.75	106038	40	5.5	17	3.8	65.8	-16.6	187.6	3.9	4.18	0.53	0.13	3.15	2.08	"e2"	2	118	0	0	1248	"<7.5"	"Arctic"	0	0
"Iceland_NE-Au-60"	"Iceland NE   60-200m"	129.75	40140	40	4.5	17	3.8	65.5	-17.3	187.6	5.2	4.65	3.94	1.59	4.67	3.01	"e2"	2	45	0	0	470	"<7.5"	"Arctic"	0	0
"Iceland_SW-Au-201"	"Iceland SW 200-1313m"	756.25	50278	40	5.5	17	3.8	65.1	-25.8	262.1	7.7	3.62	5.86	0.28	7.2	1.96	"e2"	2	87	0	0	916	"7.5-14"	"NE North Atlantic"	0	0
"Iceland_SW-Au-42"	"Iceland SW   42-200m"	120.75	39766	40	4.5	17	3.8	65	-20.5	262.1	7.7	4.45	7.01	1.45	7.35	2.89	"e2"	2	44	0	0	467	"7.5-14"	"NE North Atlantic"	0	0
"Mauritania-All-5"	"Mauritania     5-50m"	27.5	14127	40	4	17	3.5	18.5	-16.9	1885.6	20.8	6.89	17.6	4.12	19.34	5.79	"e2"	2	89	0	0	1621	">20.5"	"SE North Atlantic"	0	0
"Mauritania-All-50"	"Mauretania   50-200m"	125	10646	40	4	17	3.5	18.5	-16.9	1885.6	21.5	7.54	14.17	1.47	18.37	4.64	"e2"	2	71	0	0	1285	">20.5"	"SE North Atlantic"	0	0
"Morocco-All-200"	"Morocco  200-400m"	300	4876	40	2.1	21.4	3	32.3	-8.6	380.3	19.1	3.83	12.23	-0.25	17.27	0.83	"e2"	2	7	0	0	178	"14-20.5"	"SE North Atlantic"	0	0
"Morocco-All-22"	"Morocco   22-200m"	111	28889	40	2.1	21.4	3	32.3	-8.6	380.3	19.2	3.97	15.23	-0.37	17.55	1.11	"e2"	2	20	0	0	548	"14-20.5"	"SE North Atlantic"	0	0
"Morocco-All-400"	"Morocco  400-890m"	645	10690	40	2.1	21.4	3	32.3	-8.6	380.3	19.2	4.04	10.48	-0.14	17.27	0.95	"e2"	2	13	0	0	227	"14-20.5"	"SE North Atlantic"	0	0
"North_Sea-Su-11"	"North Sea Aug   11-269m"	140	493244	20	5	21	4	56.4	2.4	387.3	10.1	8.14	8.36	3.49	9.16	5.66	"e2"	2	289	0	0	3736	"7.5-14"	"NE North Atlantic"	0	0
"North_Sea-Wi-10"	"North Sea Feb   10-270m"	140	499507	20	5	21	4	56.2	2.3	387.3	10.1	8.16	8.37	3.53	9.17	5.7	"e2"	2	765	1	0.02222446151849	9152	"7.5-14"	"NE North Atlantic"	6.120192	11101.2740997164
"Northern_Spain-Au-35.5"	"Northern Spain 35.5-493m"	264	20279	20	2	18.9	3	43	-5.7	379.1	15.5	5.72	11.74	0.31	13.88	2.15	"e2"	2	137	1	96.1773659317441	2610	"14-20.5"	"NE North Atlantic"	1359.973125	1950380.80372984
"Norwegian_coast-Au-140"	"Norwegian coast  140-803m"	471.5	118922	16	7	25	3.4	72.4	22.2	172.6	6.1	3.7	3.52	-0.3	5.49	1.73	"e2"	2	67	0	0	530	"<7.5"	"NE North Atlantic"	0	0
"Porcupine_Bank-Au-189"	"Porcupine Bank  189-763m"	476	53139	20	3.5	20	3.5	52.5	-13.1	235.2	12.4	4.54	10.13	-0.05	11.4	2.01	"e2"	2	42	2	4.19802272110866	651	"7.5-14"	"NE North Atlantic"	17.67246	223078.729376993
"Portugal_N-Au-14"	"Portugal N   14-678m"	346	12482	20	4.6	15	3.5	40.6	-9.3	497.6	16.3	4.66	13.22	-0.27	14.87	1.43	"e2"	2	48	0	0	678	"14-20.5"	"NE North Atlantic"	0	0
"Portugal_S-Au-16"	"Portugal S   19-690m"	354.5	2801	20	4.6	15	3.5	36.9	-8.2	497.6	18.1	4.49	14.34	-0.35	16.56	1.34	"e2"	2	30	1	0.709077174626924	411	"14-20.5"	"NE North Atlantic"	1.99681775	1986.12516613001
"Portugal_SW-Au-30"	"Portugal SW   30-460m"	245	8248	20	4.6	15	3.5	38.3	-9.5	497.6	17	4	13.36	-0.38	15.58	1.15	"e2"	2	39	0	0	567	"14-20.5"	"NE North Atlantic"	0	0
"S_Barents_Sea-Au-36"	"S Barents Sea   36-830m"	433	820387	16	7	25	3.4	73.2	38.7	128	2.3	4.67	0.72	-0.02	1.47	1.93	"e2"	2	296	2	17.1058632478598	2144	"<7.5"	"Arctic"	538.895121	14033427.832322
"S_Tyrrhenian_Sea-Su-19"	"S Tyrrhenian Sea   19-200m"	109.5	941	20	1.9	18.4	3	38.3	14.3	170	19.5	11.21	13.72	-0.01	15.8	2.96	"e2"	2	6	1	470.511596910869	122	"14-20.5"	"Mediterranean"	292.7451	442751.412693128
"S_Tyrrhenian_Sea-Su-200"	"S Tyrrhenian Sea  200-693m"	446.5	1821	20	1.9	18.4	3	38.3	14.3	170	19.5	11.21	13.72	-0.01	15.8	2.96	"e2"	2	13	1	21.7110649056529	127	"14-20.5"	"Mediterranean"	28.459938	39535.8491931939
"Scotian_shelf-Su-17"	"Scotian shelf   12-200m"	106	190955	19	4.6	12.5	3.5	44.2	-62.4	306.2	8	13.35	5.38	0.94	5.43	4.94	"e2"	2	167	2	1.0406179469943	4097	"7.5-14"	"NW North Atlantic"	26.3536983876559	198711.200068297
"Tramontana-Su-200"	"Tramontana  200-767m"	483.5	5318	20	3	20.3	3	41	2.2	241.6	18.11	10.61	13.36	0.44	13.19	4.43	"e2"	2	12	0	0	106	"14-20.5"	"Mediterranean"	0	0
"Tramontana-Su-30"	"Tramontana   30-200m"	115	10149	20	3	16.3	3	41	2.2	241.6	17.7	10.19	13.11	0.06	14.67	3.55	"e2"	2	32	4	472.05595340979	347	"14-20.5"	"Mediterranean"	5245.99999948452	4790895.87115596
"W_Greenland_GDR-Au-200"	"W Greenland  200-400m"	300	13077	30	4	22	4.5	62.9	-50.3	124.5	1.6	3.86	3.75	0.1	1.95	1.79	"e2"	2	68	0	0	740	"<7.5"	"Arctic"	0	0
"W_Greenland_GDR-Au-50"	"W Greenland   50-200m"	124.5	47617	30	4	22	4.5	62.9	-50.3	124.5	1.6	3.43	2.87	0.43	1.9	1.73	"e2"	2	122	0	0	1331	"<7.5"	"Arctic"	0	0
"West_of_Scotland-Au-30"	"W Scotland Nov   30-500m"	265	114470	20	4.6	20	4	57.3	-7.7	324.4	10.8	4.58	9.65	1.37	10.28	3.02	"e2"	2	49	0	0	527	"7.5-14"	"NE North Atlantic"	0	0
"West_of_Scotland-Wi-10"	"W Scotland Mar   10-405m"	207.5	114003	20	4.6	20	4	57.3	-7.7	324.4	10.8	4.59	9.68	1.38	10.28	3.03	"e3"	2	99	0	0	991	"7.5-14"	"NE North Atlantic"	0	0
"Adriatic-Su-16"	"Adriatic   16-449m"	232.5	54363	20	2.3	16.5	3	43.9	15.7	223.5	17.9	10.81	13.46	0.73	15.05	4.14	"e2.5"	2.5	31	7	1637.63029084713	657	"14-20.5"	"Mediterranean"	14350.93234	89026495.5013225
"Alboran_Sea-Su-200"	"Alboran Sea  200-810m"	505	8812	20	3	19.4	3	36.8	-3	402	18.3	7.17	13.1	-0.04	15.2	1.61	"e2.5"	2.5	27	6	11753.8370545859	251	"14-20.5"	"Mediterranean"	64457.998776	103574812.125011
"Alboran_Sea-Su-30"	"Alboran Sea   30-200m"	115	2247	20	3	16.4	3	36.8	-3	402	18.4	7.57	13.2	-0.04	15.22	1.76	"e2.5"	2.5	8	8	12433.0722152151	169	"14-20.5"	"Mediterranean"	19285.9965025	27937113.2675883
"Alicante_and_Eivissa-Su-200"	"Alicante & Eivissa  200-788m"	494	5065	20	3	19.5	3	38.6	0	208.6	19.1	10.87	13.22	-0.03	15.32	2.99	"e2.5"	2.5	16	5	10014.2940212237	150	"14-20.5"	"Mediterranean"	33387.9894	50722399.217498
"Alicante_and_Eivissa-Su-30"	"Alicante & Eivissa   30-200m"	115	5620	20	3	16.4	3	38.6	0	208.6	19.1	11.27	13.67	0.2	15.88	4.09	"e2.5"	2.5	10	6	4183.85840783277	215	"14-20.5"	"Mediterranean"	9300.007535	23513284.2520202
"Bay_of_Biscay-Au-28"	"Bay of Biscay   28-100m"	64	26316	20	4	20.5	4	45.8	-4.6	520.3	14.7	8.18	11.97	0.79	13.18	3.96	"e2.5"	2.5	37	6	1172.22942142774	486	"14-20.5"	"NE North Atlantic"	8410.031712	30848389.4542924
"Bear_Island-Au-36"	"Bear Island   36-830m"	433	258318	16	7	25	3.4	77	18.7	117.1	1.5	3.14	1.27	0.38	1.35	1.81	"e2.5"	2.5	214	3	163.084762562899	1576	"<7.5"	"Arctic"	3902.419004	42127729.6957229
